iter	Passed	Remaining
0	60	60138
1	60	30232
2	60	20257
3	61	15269
4	61	12272
5	62	10273
6	62	8843
7	62	7787
8	63	6952
9	63	6284
10	63	5735
11	64	5282
12	64	4904
13	64	4577
14	65	4296
15	65	4045
16	66	3822
17	66	3625
18	66	3447
19	67	3288
20	67	3151
21	68	3023
22	68	2903
23	68	2792
24	69	2701
25	69	2608
26	69	2521
27	70	2438
28	70	2362
29	70	2291
30	71	2223
31	71	2160
32	71	2101
33	72	2046
34	72	1994
35	72	1945
36	72	1897
37	73	1853
38	73	1812
39	73	1772
40	74	1737
41	74	1701
42	74	1668
43	75	1636
44	75	1605
45	75	1575
46	76	1545
47	76	1517
48	76	1491
49	77	1469
50	77	1448
51	78	1430
52	78	1408
53	79	1386
54	79	1365
55	79	1345
56	80	1325
57	80	1305
58	80	1286
59	80	1267
60	81	1249
61	81	1232
62	81	1216
63	82	1201
64	82	1185
65	82	1170
66	83	1156
67	83	1139
68	83	1124
69	83	1111
70	83	1098
71	84	1085
72	84	1072
73	84	1060
74	85	1048
75	85	1036
76	85	1025
77	85	1014
78	86	1003
79	86	992
80	86	982
81	87	975
82	87	967
83	87	958
84	88	948
85	88	939
86	88	928
87	88	919
88	88	910
89	89	902
90	89	897
91	90	889
92	90	881
93	90	873
94	90	865
95	91	858
96	91	851
97	91	844
98	92	840
99	92	834
100	92	827
101	93	819
102	93	813
103	93	806
104	93	800
105	94	794
106	94	788
107	94	782
108	95	776
109	95	771
110	95	765
111	95	759
112	96	754
113	96	749
114	96	743
115	96	738
116	97	732
117	97	727
118	97	722
119	97	717
120	98	712
121	98	707
122	98	701
123	98	697
124	98	692
125	99	688
126	99	684
127	99	678
128	99	674
129	100	670
130	100	666
131	100	661
132	101	658
133	101	655
134	101	651
135	101	647
136	102	643
137	102	639
138	102	635
139	102	631
140	103	628
141	103	624
142	103	620
143	103	617
144	104	613
145	104	610
146	104	607
147	104	604
148	105	601
149	105	599
150	105	595
151	106	592
152	106	589
153	106	586
154	107	585
155	107	583
156	108	580
157	108	577
158	108	574
159	108	571
160	109	568
161	109	565
162	109	563
163	109	560
164	110	558
165	110	555
166	110	552
167	111	550
168	111	547
169	111	544
170	111	542
171	112	539
172	112	537
173	112	534
174	112	532
175	113	529
176	113	527
177	113	524
178	113	522
179	114	520
180	114	516
181	114	514
182	114	512
183	115	510
184	115	508
185	115	505
186	115	503
187	116	501
188	116	499
189	116	496
190	116	494
191	117	492
