iter	Passed	Remaining
0	0	653
1	0	472
2	1	420
3	1	389
4	2	400
5	2	383
6	2	365
7	2	359
8	3	354
9	3	346
10	3	340
11	4	337
12	4	332
13	4	328
14	4	325
15	5	325
16	5	320
17	5	316
18	6	329
19	6	325
20	6	322
21	7	320
22	7	318
23	7	317
24	8	315
25	8	313
26	8	311
27	8	312
28	9	311
29	9	310
30	9	309
31	10	308
32	10	308
33	10	306
34	11	305
35	11	303
36	11	302
37	11	300
38	12	300
39	12	299
40	12	298
41	13	297
42	13	295
43	13	294
44	13	292
45	14	291
46	14	289
47	14	289
48	14	290
49	15	290
50	15	289
51	15	289
52	16	289
53	16	287
54	16	287
55	17	287
56	17	286
57	17	285
58	17	284
59	18	283
60	18	282
61	18	281
62	18	281
63	19	280
64	19	280
65	19	280
66	20	279
67	20	279
68	20	278
69	20	277
70	21	276
71	21	277
72	21	278
73	22	277
74	22	276
75	22	275
76	22	275
77	23	275
78	23	274
79	23	273
80	24	273
81	24	272
82	24	270
83	24	269
84	25	269
85	25	268
86	25	268
87	25	268
88	26	267
89	26	267
90	26	266
91	26	266
92	27	265
93	27	265
94	27	264
95	28	263
96	28	263
97	28	262
98	28	261
99	29	261
100	29	260
101	29	260
102	29	259
103	30	259
104	30	259
105	30	258
106	30	258
107	31	257
108	31	257
109	31	257
110	32	256
111	32	255
112	32	255
113	33	256
114	33	256
115	33	255
116	33	254
117	34	254
118	34	253
119	34	253
120	34	252
121	34	251
122	35	251
123	35	250
124	35	250
125	36	250
126	36	249
127	36	249
128	36	249
129	37	249
130	37	248
131	37	248
132	37	247
133	38	247
134	38	246
135	38	246
136	39	246
137	39	246
138	39	245
139	39	245
140	40	245
141	40	244
142	40	243
143	40	243
144	41	242
145	41	243
146	41	242
147	42	242
148	42	241
149	42	241
150	42	240
151	43	240
152	43	240
153	43	239
154	43	239
155	44	238
156	44	238
157	44	238
158	45	238
159	45	237
160	45	236
161	45	236
162	46	236
163	46	235
164	46	235
165	46	234
166	47	234
167	47	234
168	47	234
169	47	233
170	48	233
171	48	233
172	48	233
173	49	232
174	49	232
175	49	232
176	49	232
177	50	231
178	50	231
179	50	230
180	51	231
181	51	231
182	51	230
183	51	230
184	52	230
185	52	230
186	52	229
187	53	229
188	53	229
189	53	229
190	54	229
191	54	229
192	54	229
193	55	228
194	55	228
195	55	228
196	56	228
197	56	228
198	56	227
199	56	227
200	57	227
201	57	226
202	57	226
203	57	226
204	58	225
205	58	225
206	58	225
207	59	225
208	59	224
209	59	224
210	60	224
211	60	224
212	60	223
213	60	223
214	61	223
215	61	222
216	61	222
217	61	222
218	62	221
219	62	221
220	62	221
221	63	220
222	63	220
223	63	220
224	63	220
225	64	219
226	64	219
227	64	219
228	65	218
229	65	218
230	65	218
231	65	217
232	66	217
233	66	217
234	66	217
235	66	216
236	67	216
237	67	216
238	67	215
239	68	215
240	68	215
241	68	215
242	69	215
243	69	214
244	69	214
245	69	214
246	70	213
247	70	213
248	70	213
249	71	213
250	71	212
251	71	212
252	71	212
253	72	211
254	72	211
255	72	211
